Currency,Units per HKD,HKD per unit,Date
EUR,0.112877331,8.85917476,2022-01-11
GBP,0.094158204,10.62042345,2022-01-11
INR,9.46726544,0.105627122,2022-01-11
AUD,0.178243895,5.610290335,2022-01-11
CAD,0.161610747,6.187707305,2022-01-11
SGD,0.17331253,5.769923264,2022-01-11
CHF,0.118487365,8.439718441,2022-01-11
MXN,2.610907413,0.383008603,2022-01-11
PHP,6.550938399,0.152649886,2022-01-11
PLN,0.512562812,1.950980399,2022-01-11
PEN,0.503742477,1.985141309,2022-01-11
USD,0.128332514,7.79225754,2022-01-12
EUR,0.112262431,8.907699458,2022-01-12
GBP,0.093699031,10.672469,2022-01-12
INR,9.468900225,0.105608886,2022-01-12
AUD,0.1763448,5.670708753,2022-01-12
CAD,0.160421045,6.233596093,2022-01-12
SGD,0.172830835,5.786004579,2022-01-12
CHF,0.117221526,8.530856371,2022-01-12
MXN,2.614094318,0.382541668,2022-01-12
PHP,6.546456543,0.152754394,2022-01-12
PLN,0.508245528,1.967552976,2022-01-12
PEN,0.499985022,2.000059913,2022-01-12
USD,0.128396613,7.788367423,2022-01-13
EUR,0.111986516,8.929646497,2022-01-13
GBP,0.093552101,10.68923085,2022-01-13
INR,9.49489294,0.105319776,2022-01-13
AUD,0.175908754,5.684765394,2022-01-13
CAD,0.160260813,6.239828587,2022-01-13
SGD,0.172713677,5.789929435,2022-01-13
CHF,0.116856275,8.557520748,2022-01-13
MXN,2.614137615,0.382535332,2022-01-13
PHP,6.570200929,0.152202347,2022-01-13
PLN,0.508465628,1.966701279,2022-01-13
PEN,0.500398629,1.998406755,2022-01-13
USD,0.128447872,7.785259381,2022-01-14
EUR,0.112548652,8.88504645,2022-01-14
GBP,0.093967953,10.64192599,2022-01-14
INR,9.517011421,0.105075003,2022-01-14
AUD,0.177830308,5.6233384,2022-01-14
CAD,0.161188097,6.203932052,2022-01-14
SGD,0.173136324,5.775795478,2022-01-14
CHF,0.117338656,8.522340684,2022-01-14
MXN,2.609897401,0.383156824,2022-01-14
PHP,6.593369941,0.15166751,2022-01-14
PLN,0.510292133,1.959661801,2022-01-14
PEN,0.497401162,2.010449664,2022-01-14
USD,0.128449888,7.785137215,2022-01-15
EUR,0.112540127,8.885719489,2022-01-15
GBP,0.093907469,10.64878024,2022-01-15
INR,9.527474178,0.104959613,2022-01-15
AUD,0.178221039,5.611009831,2022-01-15
CAD,0.161280843,6.200364428,2022-01-15
SGD,0.173110329,5.776662816,2022-01-15
CHF,0.117406496,8.517416272,2022-01-15
MXN,2.608153932,0.383412953,2022-01-15
PHP,6.593922641,0.151654797,2022-01-15
PLN,0.510343803,1.959463395,2022-01-15
PEN,0.497388939,2.010499071,2022-01-15
USD,0.128449482,7.785161779,2022-01-16
EUR,0.112510558,8.888054723,2022-01-16
GBP,0.093916663,10.64773777,2022-01-16
INR,9.527799979,0.104956024,2022-01-16
AUD,0.178132266,5.613806079,2022-01-16
CAD,0.161227092,6.202431554,2022-01-16
SGD,0.173124896,5.776176746,2022-01-16
CHF,0.117429882,8.515720029,2022-01-16
MXN,2.608143367,0.383414506,2022-01-16
PHP,6.593934452,0.151654525,2022-01-16
PLN,0.510273602,1.959732965,2022-01-16
PEN,0.497383189,2.010522314,2022-01-16
USD,0.128355109,7.790885835,2022-01-17
EUR,0.112518669,8.887414086,2022-01-17
GBP,0.094022284,10.63577654,2022-01-17
INR,9.537156445,0.104853056,2022-01-17
AUD,0.177988649,5.618335799,2022-01-17
CAD,0.160609909,6.226265888,2022-01-17
SGD,0.173059678,5.778353517,2022-01-17
CHF,0.117281557,8.526489819,2022-01-17
MXN,2.60477755,0.383909943,2022-01-17
PHP,6.57472907,0.152097522,2022-01-17
PLN,0.508848889,1.965219972,2022-01-17
PEN,0.495017549,2.020130402,2022-01-17
USD,0.128344441,7.79153343,2022-01-18
EUR,0.113225278,8.831950081,2022-01-18
GBP,0.094467532,10.58564761,2022-01-18
INR,9.570606429,0.104486587,2022-01-18
AUD,0.178576225,5.599849584,2022-01-18
CAD,0.160928504,6.213939582,2022-01-18
SGD,0.173343811,5.768882052,2022-01-18
CHF,0.117675867,8.49791914,2022-01-18
MXN,2.616611033,0.382173731,2022-01-18
PHP,6.607149124,0.151351208,2022-01-18
PLN,0.513184826,1.948615681,2022-01-18
PEN,0.493542025,2.026169909,2022-01-18
USD,0.128349939,7.791199664,2022-01-19
EUR,0.11313157,8.839265641,2022-01-19
GBP,0.094207722,10.61484115,2022-01-19
INR,9.547866723,0.104735438,2022-01-19
AUD,0.177631232,5.629640633,2022-01-19
CAD,0.160490643,6.230892868,2022-01-19
SGD,0.172937224,5.782445087,2022-01-19
CHF,0.117528886,8.508546558,2022-01-19
MXN,2.628135399,0.3804979,2022-01-19
PHP,6.60718847,0.151350306,2022-01-19
PLN,0.511747355,1.954089239,2022-01-19
PEN,0.495725216,2.017246588,2022-01-19
USD,0.128425703,7.786603266,2022-01-20
EUR,0.113289821,8.826918356,2022-01-20
GBP,0.09413059,10.62353901,2022-01-20
INR,9.545864014,0.104757411,2022-01-20
AUD,0.176763228,5.657285246,2022-01-20
CAD,0.160057283,6.247763201,2022-01-20
SGD,0.172630115,5.792732064,2022-01-20
CHF,0.117595798,8.503705196,2022-01-20
MXN,2.624160335,0.381074276,2022-01-20
PHP,6.595668428,0.151614656,2022-01-20
PLN,0.511865459,1.953638367,2022-01-20
PEN,0.494668435,2.021556115,2022-01-20
USD,0.128425354,7.78662446,2022-01-21
EUR,0.113183833,8.835184115,2022-01-21
GBP,0.094708556,10.55870811,2022-01-21
INR,9.544771371,0.104769403,2022-01-21
AUD,0.178395584,5.605519929,2022-01-21
CAD,0.161064885,6.208677943,2022-01-21
SGD,0.172588646,5.794123909,2022-01-21
CHF,0.117113817,8.538702125,2022-01-21
MXN,2.628899454,0.380387313,2022-01-21
PHP,6.581864286,0.151932637,2022-01-21
PLN,0.514470199,1.943747184,2022-01-21
PEN,0.491093836,2.036270723,2022-01-21
USD,0.128423123,7.786759726,2022-01-22
EUR,0.113195896,8.834242548,2022-01-22
GBP,0.094751493,10.55392337,2022-01-22
INR,9.556089943,0.104645311,2022-01-22
AUD,0.178785367,5.593298912,2022-01-22
CAD,0.161609905,6.187739556,2022-01-22
SGD,0.17268883,5.790762508,2022-01-22
CHF,0.11710914,8.539043164,2022-01-22
MXN,2.630256129,0.380191111,2022-01-22
PHP,6.585253626,0.15185444,2022-01-22
PLN,0.512703532,1.950444923,2022-01-22
PEN,0.488415022,2.047439072,2022-01-22
USD,0.128424795,7.78665831,2022-01-23
EUR,0.113128414,8.839512271,2022-01-23
GBP,0.094746254,10.55450704,2022-01-23
INR,9.556140439,0.104644758,2022-01-23
AUD,0.178703526,5.595860483,2022-01-23
CAD,0.161645035,6.186394783,2022-01-23
SGD,0.172699656,5.790399501,2022-01-23
CHF,0.117035298,8.544430794,2022-01-23
MXN,2.628839298,0.380396018,2022-01-23
PHP,6.585398943,0.151851089,2022-01-23
PLN,0.512717696,1.950391039,2022-01-23
PEN,0.488324356,2.047819218,2022-01-23
USD,0.128439806,7.78574827,2022-01-24
EUR,0.113537544,8.807659237,2022-01-24
GBP,0.095502511,10.47092886,2022-01-24
INR,9.598284514,0.104185284,2022-01-24
AUD,0.180866395,5.528943072,2022-01-24
CAD,0.162971963,6.136024771,2022-01-24
SGD,0.173099157,5.77703566,2022-01-24
CHF,0.117449329,8.514310025,2022-01-24
MXN,2.653421787,0.376871858,2022-01-24
PHP,6.602541671,0.151456825,2022-01-24
PLN,0.519305189,1.925649927,2022-01-24
PEN,0.492884757,2.028871832,2022-01-24
USD,0.128443557,7.785520942,2022-01-25
EUR,0.113814517,8.7862254,2022-01-25
GBP,0.095190703,10.50522765,2022-01-25
INR,9.602959725,0.104134561,2022-01-25
AUD,0.179948301,5.557151671,2022-01-25
CAD,0.162325479,6.160462341,2022-01-25
SGD,0.172712642,5.789964113,2022-01-25
CHF,0.118066511,8.469802243,2022-01-25
MXN,2.655738037,0.376543163,2022-01-25
PHP,6.57356455,0.152124466,2022-01-25
PLN,0.52238583,1.914293886,2022-01-25
PEN,0.495097381,2.019804664,2022-01-25
USD,0.128454146,7.784879144,2022-01-26
EUR,0.11387416,8.781623543,2022-01-26
GBP,0.09503509,10.52242914,2022-01-26
INR,9.622304551,0.103925208,2022-01-26
AUD,0.179224989,5.579579085,2022-01-26
CAD,0.161833714,6.179182151,2022-01-26
SGD,0.172766003,5.788175813,2022-01-26
CHF,0.118341859,8.450095421,2022-01-26
MXN,2.65215105,0.377052431,2022-01-26
PHP,6.568846532,0.152233729,2022-01-26
PLN,0.521992825,1.915735144,2022-01-26
PEN,0.494412395,2.022603012,2022-01-26
USD,0.128365372,7.790262935,2022-01-27
EUR,0.115211601,8.679681458,2022-01-27
GBP,0.095904037,10.42708969,2022-01-27
INR,9.652813248,0.103596742,2022-01-27
AUD,0.182248416,5.48701614,2022-01-27
CAD,0.163162022,6.128877238,2022-01-27
SGD,0.173700087,5.757049502,2022-01-27
CHF,0.119616006,8.36008519,2022-01-27
MXN,2.664504828,0.375304255,2022-01-27
PHP,6.579795167,0.151980415,2022-01-27
PLN,0.525107478,1.904372043,2022-01-27
PEN,0.492586823,2.030098965,2022-01-27
USD,0.128318435,7.793112512,2022-01-28
EUR,0.114996891,8.695887281,2022-01-28
